team1,team2,score1,score2
tottenham,liverpool,0,2
ajax,tottenham,2,3
liverpool,barcelona,4,0
barcelona,liverpool,3,0
tottenham,ajax,0,1
porto,liverpool,1,4
man city,tottenham,4,3
juventus,ajax,1,2
barcelona,man united,3,0
man united,barcelona,0,1
ajax,juventus,1,1
tottenham,man city,1,0
liverpool,porto,2,0
barcelona,lyon,5,1
bayern,liverpool,1,3
juventus,atletico,3,0
man city,schalke,7,0
paris,man united,1,3
porto,roma,3,1
dortmund,tottenham,0,1
real madrid,ajax,1,4
atletico,juventus,2,0
schalke,man city,2,3
lyon,barcelona,0,0
liverpool,bayern,0,0
tottenham,dortmund,3,0
ajax,real madrid,1,2
roma,porto,2,1
man united,paris,0,2
valencia,man united,2,1
young boys,juventus,2,1
man city,hoffenheim,2,1
shakhtar donetsk,lyon,1,1
benfica,aek,1,0
ajax,bayern,3,3
plzen,roma,2,1
real madrid,cska moskva,0,3
crvena zvezda,paris,1,4
liverpool,napoli,1,0
internazionale,psv,1,1
barcelona,tottenham,1,1
monaco,dortmund,0,2
club brugge,atletico,0,0
schalke,lokomotiv moskva,1,0
galatasaray,porto,2,3
porto,schalke,3,1
napoli,crvena zvezda,3,1
paris,liverpool,2,1
tottenham,internazionale,1,0
psv,barcelona,1,2
dortmund,club brugge,0,0
lokomotiv moskva,galatasaray,2,0
atletico,monaco,2,0
juventus,valencia,1,0
man united,young boys,1,0
roma,real madrid,0,2
lyon,man city,2,2
hoffenheim,shakhtar donetsk,2,3
bayern,benfica,5,1
cska moskva,plzen,1,2
aek,ajax,0,2
juventus,man united,1,2
plzen,real madrid,0,5
man city,shakhtar donetsk,6,0
lyon,hoffenheim,2,2
benfica,ajax,1,1
bayern,aek,2,0
valencia,young boys,3,1
cska moskva,roma,1,2
schalke,galatasaray,2,0
porto,lokomotiv moskva,4,1
napoli,paris,1,1
internazionale,barcelona,1,1
tottenham,psv,2,1
atletico,dortmund,2,0
crvena zvezda,liverpool,2,0
monaco,club brugge,0,4
galatasaray,schalke,0,0
lokomotiv moskva,porto,1,3
liverpool,crvena zvezda,4,0
paris,napoli,2,2
barcelona,internazionale,2,0
dortmund,atletico,4,0
psv,tottenham,2,2
club brugge,monaco,1,1
man united,juventus,0,1
real madrid,plzen,2,1
roma,cska moskva,3,0
shakhtar donetsk,man city,0,3
hoffenheim,lyon,3,3
ajax,benfica,1,0
young boys,valencia,1,1
aek,bayern,0,2
porto,galatasaray,1,0
napoli,liverpool,1,0
psv,internazionale,1,2
tottenham,barcelona,2,4
dortmund,monaco,3,0
atletico,club brugge,3,1
lokomotiv moskva,schalke,0,1
paris,crvena zvezda,6,1
man united,valencia,0,0
roma,plzen,5,0
cska moskva,real madrid,1,0
lyon,shakhtar donetsk,2,2
aek,benfica,2,3
bayern,ajax,1,1
juventus,young boys,3,0
hoffenheim,man city,1,2
valencia,juventus,0,2
young boys,man united,0,3
plzen,cska moskva,2,2
real madrid,roma,3,0
man city,lyon,1,2
benfica,bayern,0,2
shakhtar donetsk,hoffenheim,2,2
ajax,aek,3,0
schalke,porto,1,1
galatasaray,lokomotiv moskva,3,0
crvena zvezda,napoli,0,0
liverpool,paris,3,2
monaco,atletico,1,2
club brugge,dortmund,0,1
internazionale,tottenham,2,1
barcelona,psv,4,0
marseille,toulouse,4,0
nantes,monaco,1,3
angers,nimes,3,4
lille,rennes,3,1
montpellier,dijon,1,2
nice,reims,0,1
saint etienne,guingamp,2,1
lyon,amiens,2,0
bordeaux,strasbourg alsace,0,2
paris,caen,3,0
reims,lyon,1,0
guingamp,paris,1,3
amiens,montpellier,1,2
caen,nice,1,1
dijon,nantes,2,0
monaco,lille,0,0
rennes,angers,1,0
strasbourg alsace,saint etienne,1,1
toulouse,bordeaux,2,1
nimes,marseille,3,1
lyon,strasbourg alsace,2,0
paris,angers,3,1
amiens,reims,4,1
montpellier,saint etienne,0,0
nantes,caen,1,1
nice,dijon,0,4
toulouse,nimes,1,0
lille,guingamp,3,0
bordeaux,monaco,2,1
marseille,rennes,2,2
lyon,nice,0,1
nimes,paris,2,4
angers,lille,1,0
dijon,caen,0,2
guingamp,toulouse,1,2
reims,montpellier,0,1
strasbourg alsace,nantes,2,3
saint etienne,amiens,0,0
rennes,bordeaux,2,0
monaco,marseille,2,3
nice,rennes,2,1
paris,saint etienne,4,0
caen,lyon,2,2
amiens,lille,2,3
dijon,angers,1,3
montpellier,strasbourg alsace,1,1
toulouse,monaco,1,1
nantes,reims,0,0
bordeaux,nimes,3,3
marseille,guingamp,4,0
monaco,nimes,1,1
lille,nantes,2,1
angers,toulouse,0,0
montpellier,nice,1,0
reims,dijon,0,0
saint etienne,caen,2,1
strasbourg alsace,amiens,3,1
rennes,paris,1,3
guingamp,bordeaux,1,3
lyon,marseille,4,2
monaco,angers,0,1
nantes,nice,1,2
toulouse,saint etienne,2,3
amiens,rennes,2,1
bordeaux,lille,1,0
caen,montpellier,2,2
dijon,lyon,0,3
marseille,strasbourg alsace,3,2
nimes,guingamp,0,0
paris,reims,4,1
saint etienne,monaco,2,0
nice,paris,0,3
angers,guingamp,0,1
caen,amiens,1,0
lyon,nantes,1,1
reims,bordeaux,0,0
strasbourg alsace,dijon,3,0
rennes,toulouse,1,1
montpellier,nimes,3,0
lille,marseille,3,0
toulouse,nice,1,1
lille,saint etienne,3,1
amiens,dijon,1,0
angers,strasbourg alsace,2,2
guingamp,montpellier,1,1
nimes,reims,0,0
bordeaux,nantes,3,0
marseille,caen,2,0
monaco,rennes,1,2
paris,lyon,5,0
lyon,nimes,2,0
paris,amiens,5,0
caen,guingamp,0,0
dijon,lille,1,2
nantes,toulouse,4,0
reims,angers,1,1
strasbourg alsace,monaco,2,1
montpellier,bordeaux,2,0
saint etienne,rennes,1,1
nice,marseille,0,1
nimes,saint etienne,1,1
angers,lyon,1,2
amiens,nantes,1,2
guingamp,strasbourg alsace,1,1
lille,caen,1,0
monaco,dijon,2,2
toulouse,montpellier,0,3
rennes,reims,0,2
bordeaux,nice,0,1
marseille,paris,0,2
paris,lille,2,1
lyon,bordeaux,1,1
caen,rennes,1,2
dijon,nimes,0,4
nice,amiens,1,0
reims,monaco,1,0
