team,index,nation
liverpool,0,eng
tottenham,1,eng
ajax,2,ned
barcelona,3,esp
juventus,4,ita
man city,5,eng
man united,6,eng
porto,7,por
atletico,8,esp
bayern,9,ger
dortmund,10,ger
lyon,11,fra
paris,12,fra
real madrid,13,esp
roma,14,ita
schalke,15,ger
aek,16,gre
benfica,17,por
club brugge,18,bel
crvena zvezda,19,srb
cska moskva,20,rus
galatasaray,21,tur
hoffenheim,22,ger
internazionale,23,ita
lokomotiv moskva,24,rus
monaco,25,fra
napoli,26,ita
plzen,27,cze
psv,28,ned
shakhtar donetsk,29,ukr
valencia,30,esp
young boys,31,sui
bate,32,blr
dinamo zagreb,33,cro
dynamo kyiv,34,ukr
fehervar,35,hun
paok,36,gre
salzburg,37,aut
astana,38,kaz
celtic,39,sco
fenerbahce,40,tur
malmo,41,swe
qarabag,42,aze
shkendija,43,mkd
slavia praha,44,cze
spartak moskva,45,rus
spartak trnava,46,svk
standard liege,47,bel
basel,48,sui
cfr cluj,49,rou
h beer sheva,50,isr
hjk,51,fin
kukes,52,alb
legia,53,pol
ludogorets,54,bul
midtjylland,55,den
rosenborg,56,nor
sheriff,57,mda
sturm,58,aut
suduva,59,ltu
alashkert,60,arm
apoel,61,cyp
cork,62,irl
crusaders,63,nir
drita,64,kos
dudelange,65,lux
flora,66,est
olimpija ljubljana,67,svn
spartaks jurmala,68,lva
sutjeska,69,mne
tns,70,wal
torpedo kutaisi,71,geo
valletta,72,mlt
valur,73,isl
vikingur,74,fro
zrinjski,75,bih
fc santa coloma,76,and
la fiorita,77,smr
lincoln red imps,78,gib
